timestamp,total_memory,used_memory,free_memory,used_swap,memory_percent,process_memory
2025-03-29 19:24:10.521950,8022.74,6611.11,1411.62,1156.93,82.4,108.83
2025-03-29 19:24:12.146594,8022.74,6603.48,1419.25,1156.93,82.3,109.35
2025-03-29 19:24:13.198826,8022.74,6632.87,1389.87,1156.93,82.7,130.12
2025-03-29 19:24:14.211286,8022.74,6633.73,1389.0,1156.93,82.7,130.36
2025-03-29 19:24:15.230830,8022.74,6633.57,1389.16,1156.93,82.7,130.39
2025-03-29 19:24:16.250145,8022.74,6633.34,1389.4,1156.93,82.7,130.44
2025-03-29 19:24:17.269578,8022.74,6633.58,1389.16,1156.93,82.7,130.58
2025-03-29 19:24:18.289039,8022.74,6633.66,1389.08,1156.93,82.7,130.98
2025-03-29 19:24:19.310452,8022.74,6630.17,1392.57,1156.93,82.6,131.43
2025-03-29 19:24:20.318544,8022.74,6633.97,1388.77,1156.93,82.7,131.57
2025-03-29 19:24:21.339721,8022.74,6629.54,1393.2,1156.93,82.6,131.74
2025-03-29 19:24:22.359154,8022.74,6617.6,1405.14,1156.93,82.5,131.78
2025-03-29 19:24:23.379143,8022.74,6621.0,1401.74,1156.93,82.5,131.79
2025-03-29 19:24:24.399133,8022.74,6618.28,1404.46,1156.93,82.5,131.79
2025-03-29 19:24:25.418494,8022.74,6618.92,1403.82,1156.93,82.5,132.02
2025-03-29 19:24:26.438315,8022.74,6614.71,1408.03,1156.93,82.4,132.02
2025-03-29 19:24:27.457871,8022.74,6617.27,1405.46,1156.93,82.5,132.15
2025-03-29 19:24:28.477031,8022.74,6652.67,1370.07,1156.93,82.9,137.92
2025-03-29 19:24:29.500800,8022.74,6650.26,1372.48,1156.93,82.9,137.92
2025-03-29 19:24:30.520722,8022.74,6651.35,1371.39,1156.93,82.9,137.93
2025-03-29 19:24:31.530264,8022.74,6652.54,1370.2,1156.93,82.9,137.93
2025-03-29 19:24:32.550596,8022.74,6652.09,1370.64,1156.93,82.9,137.93
2025-03-29 19:24:33.570070,8022.74,6651.46,1371.27,1156.93,82.9,137.93
2025-03-29 19:24:34.590888,8022.74,6641.72,1381.02,1156.93,82.8,137.93
2025-03-29 19:24:35.611538,8022.74,6628.64,1394.09,1156.93,82.6,138.19
2025-03-29 19:24:36.632071,8022.74,6641.43,1381.3,1156.93,82.8,138.25
2025-03-29 19:24:37.651410,8022.74,6640.35,1382.39,1156.93,82.8,138.25
2025-03-29 19:24:38.677375,8022.74,6636.03,1386.71,1156.93,82.7,138.34
2025-03-29 19:24:39.696915,8022.74,6634.22,1388.52,1156.93,82.7,138.66
2025-03-29 19:24:40.707234,8022.74,6636.88,1385.86,1156.93,82.7,138.68
2025-03-29 19:24:41.726422,8022.74,6636.85,1385.89,1156.93,82.7,138.68
2025-03-29 19:24:42.749248,8022.74,6643.15,1379.59,1156.93,82.8,142.84
2025-03-29 19:24:43.770304,8022.74,6626.39,1396.35,1156.93,82.6,142.84
2025-03-29 19:24:44.792444,8022.74,6632.11,1390.63,1156.93,82.7,142.61
2025-03-29 19:24:45.814405,8022.74,6635.34,1387.39,1156.93,82.7,142.64
2025-03-29 19:24:46.835130,8022.74,6634.87,1387.87,1156.93,82.7,142.97
2025-03-29 19:24:47.855636,8022.74,6634.15,1388.59,1156.93,82.7,142.98
2025-03-29 19:24:48.875442,8022.74,6636.46,1386.28,1156.93,82.7,146.53
2025-03-29 19:24:49.895425,8022.74,6636.43,1386.31,1156.93,82.7,146.74
2025-03-29 19:24:50.915103,8022.74,6630.09,1392.64,1156.93,82.6,146.79
2025-03-29 19:24:51.935375,8022.74,6626.55,1396.19,1156.93,82.6,142.97
2025-03-29 19:24:52.955475,8022.74,6625.87,1396.87,1156.93,82.6,142.98
2025-03-29 19:24:53.988442,8022.74,6626.23,1396.51,1156.93,82.6,142.98
2025-03-29 19:24:55.010029,8022.74,6626.2,1396.54,1156.93,82.6,143.23
