timestamp,total_memory,used_memory,free_memory,used_swap,memory_percent,process_memory
2025-03-29 19:29:15.313141,8022.74,7022.36,1000.38,1136.12,87.5,106.97
2025-03-29 19:29:17.122571,8022.74,7028.71,994.03,1136.12,87.6,109.5
2025-03-29 19:29:18.200318,8022.74,7045.35,977.39,1136.12,87.8,129.64
2025-03-29 19:29:19.208453,8022.74,7045.32,977.42,1136.12,87.8,130.03
2025-03-29 19:29:20.230586,8022.74,7044.05,978.68,1136.12,87.8,130.64
2025-03-29 19:29:21.250809,8022.74,7040.21,982.53,1136.12,87.8,136.18
2025-03-29 19:29:22.271281,8022.74,7037.93,984.81,1136.12,87.7,136.3
2025-03-29 19:29:23.292543,8022.74,7040.59,982.15,1136.12,87.8,136.46
2025-03-29 19:29:24.312121,8022.74,7039.33,983.41,1136.12,87.7,136.85
2025-03-29 19:29:25.332717,8022.74,7041.15,981.59,1136.12,87.8,137.0
2025-03-29 19:29:26.355291,8022.74,7040.96,981.77,1136.12,87.8,137.0
2025-03-29 19:29:27.374378,8022.74,7041.09,981.65,1136.12,87.8,137.01
2025-03-29 19:29:28.394865,8022.74,7036.88,985.86,1136.12,87.7,137.01
2025-03-29 19:29:29.414515,8022.74,7019.53,1003.21,1136.12,87.5,137.04
2025-03-29 19:29:30.437120,8022.74,7023.96,998.78,1136.12,87.6,137.04
2025-03-29 19:29:31.456771,8022.74,7023.71,999.03,1136.12,87.5,137.04
2025-03-29 19:29:32.476537,8022.74,7024.12,998.61,1136.12,87.6,137.04
2025-03-29 19:29:33.497190,8022.74,7023.96,998.77,1136.12,87.6,137.05
2025-03-29 19:29:34.516894,8022.74,7024.18,998.56,1136.12,87.6,137.05
2025-03-29 19:29:35.542343,8022.74,7041.33,981.41,1136.12,87.8,137.06
2025-03-29 19:29:36.562516,8022.74,7045.38,977.36,1136.12,87.8,137.07
2025-03-29 19:29:37.585064,8022.74,7043.84,978.9,1136.12,87.8,137.08
2025-03-29 19:29:38.609599,8022.74,7044.47,978.27,1136.12,87.8,137.14
2025-03-29 19:29:39.631949,8022.74,7041.61,981.12,1136.12,87.8,137.16
2025-03-29 19:29:40.655153,8022.74,7074.11,948.63,1136.12,88.2,137.17
2025-03-29 19:29:41.676965,8022.74,7083.51,939.23,1136.12,88.3,137.17
2025-03-29 19:29:42.700439,8022.74,7083.2,939.54,1136.12,88.3,137.16
2025-03-29 19:29:43.731583,8022.74,7084.43,938.31,1136.12,88.3,137.16
2025-03-29 19:29:44.755492,8022.74,7086.9,935.84,1136.12,88.3,137.16
2025-03-29 19:29:45.782180,8022.74,7088.75,933.99,1136.12,88.4,137.16
2025-03-29 19:29:46.806249,8022.74,7089.27,933.47,1136.12,88.4,137.16
2025-03-29 19:29:47.833126,8022.74,7105.89,916.84,1136.12,88.6,141.36
2025-03-29 19:29:48.843703,8022.74,7111.98,910.76,1136.12,88.6,141.37
2025-03-29 19:29:49.877555,8022.74,7102.32,920.41,1136.12,88.5,141.64
2025-03-29 19:29:50.903611,8022.74,7082.86,939.88,1136.12,88.3,141.71
2025-03-29 19:29:51.927199,8022.74,7070.45,952.29,1136.12,88.1,141.8
2025-03-29 19:29:52.954445,8022.74,7067.82,954.92,1136.12,88.1,141.8
2025-03-29 19:29:53.981388,8022.74,7071.12,951.62,1136.12,88.1,141.8
2025-03-29 19:29:55.007969,8022.74,7091.45,931.29,1136.12,88.4,142.12
2025-03-29 19:29:56.028031,8022.74,7071.31,951.43,1136.12,88.1,142.09
2025-03-29 19:29:57.049021,8022.74,7073.45,949.29,1136.12,88.2,142.09
2025-03-29 19:29:58.074743,8022.74,7064.43,958.3,1136.12,88.1,142.09
2025-03-29 19:29:59.094498,8022.74,7062.31,960.43,1136.12,88.0,142.09
2025-03-29 19:30:00.114749,8022.74,7060.8,961.94,1136.12,88.0,142.34
2025-03-29 19:30:01.135307,8022.74,7050.6,972.14,1136.12,87.9,142.35
2025-03-29 19:30:02.154367,8022.74,7085.25,937.49,1136.12,88.3,142.36
2025-03-29 19:30:03.167136,8022.74,7068.77,953.97,1136.12,88.1,142.36
2025-03-29 19:30:04.187503,8022.74,7079.65,943.09,1136.12,88.2,142.38
2025-03-29 19:30:05.210672,8022.74,7079.84,942.89,1136.12,88.2,142.38
2025-03-29 19:30:06.234899,8022.74,7079.57,943.17,1136.12,88.2,142.41
2025-03-29 19:30:07.258937,8022.74,7084.68,938.06,1136.12,88.3,142.21
