timestamp,iso_time,pid,name,rss_bytes,rss_mb,vms_bytes,vms_mb,cpu_percent,num_threads
1783243239.2194915,2026-07-05 14:50:39,18468,audiodg.exe,12808192,12.215,7798784,7.438,0.0,6
1783243239.7297335,2026-07-05 14:50:39,18468,audiodg.exe,12808192,12.215,7798784,7.438,6.1,6
1783243240.2476606,2026-07-05 14:50:40,18468,audiodg.exe,12808192,12.215,7798784,7.438,3.1,6
1783243240.759388,2026-07-05 14:50:40,18468,audiodg.exe,12808192,12.215,7798784,7.438,6.0,6
1783243241.270737,2026-07-05 14:50:41,18468,audiodg.exe,12808192,12.215,7798784,7.438,6.1,6
1783243241.7815719,2026-07-05 14:50:41,18468,audiodg.exe,12759040,12.168,7716864,7.359,3.1,4
1783243242.3121462,2026-07-05 14:50:42,18468,audiodg.exe,12759040,12.168,7716864,7.359,5.9,4
1783243243.7855961,2026-07-05 14:50:43,18468,audiodg.exe,12759040,12.168,7716864,7.359,4.3,4
1783243244.296885,2026-07-05 14:50:44,18468,audiodg.exe,12759040,12.168,7716864,7.359,6.0,4
1783243244.808981,2026-07-05 14:50:44,18468,audiodg.exe,12759040,12.168,7716864,7.359,0.0,4
1783243245.3197708,2026-07-05 14:50:45,18468,audiodg.exe,12976128,12.375,7974912,7.605,9.2,6
1783243245.830836,2026-07-05 14:50:45,18468,audiodg.exe,12976128,12.375,7974912,7.605,6.1,6
1783243246.3426337,2026-07-05 14:50:46,18468,audiodg.exe,12886016,12.289,7860224,7.496,0.0,6
1783243246.8538141,2026-07-05 14:50:46,18468,audiodg.exe,12886016,12.289,7860224,7.496,6.1,6
1783243247.3650713,2026-07-05 14:50:47,18468,audiodg.exe,12886016,12.289,7860224,7.496,6.1,6
1783243247.876042,2026-07-05 14:50:47,18468,audiodg.exe,12886016,12.289,7860224,7.496,6.1,6
1783243248.386306,2026-07-05 14:50:48,18468,audiodg.exe,12886016,12.289,7860224,7.496,0.0,6
1783243248.897774,2026-07-05 14:50:48,18468,audiodg.exe,12886016,12.289,7860224,7.496,6.1,6
1783243249.4092157,2026-07-05 14:50:49,18468,audiodg.exe,12886016,12.289,7860224,7.496,3.1,6
1783243249.9201229,2026-07-05 14:50:49,18468,audiodg.exe,12886016,12.289,7860224,7.496,0.0,6
1783243250.4315383,2026-07-05 14:50:50,18468,audiodg.exe,12886016,12.289,7860224,7.496,3.1,6
1783243250.9420156,2026-07-05 14:50:50,18468,audiodg.exe,12886016,12.289,7860224,7.496,6.1,6
1783243251.4529982,2026-07-05 14:50:51,18468,audiodg.exe,12886016,12.289,7860224,7.496,6.1,6
1783243251.9636817,2026-07-05 14:50:51,18468,audiodg.exe,12886016,12.289,7860224,7.496,3.1,6
1783243252.4736354,2026-07-05 14:50:52,18468,audiodg.exe,12877824,12.281,7860224,7.496,6.1,6
1783243252.9848695,2026-07-05 14:50:52,18468,audiodg.exe,12877824,12.281,7860224,7.496,6.1,6
1783243253.4956017,2026-07-05 14:50:53,18468,audiodg.exe,12877824,12.281,7860224,7.496,3.1,6
1783243254.0067253,2026-07-05 14:50:54,18468,audiodg.exe,12877824,12.281,7860224,7.496,3.1,6
1783243254.5181363,2026-07-05 14:50:54,18468,audiodg.exe,12877824,12.281,7860224,7.496,6.1,6
1783243255.029446,2026-07-05 14:50:55,18468,audiodg.exe,12877824,12.281,7860224,7.496,3.1,6
1783243255.540246,2026-07-05 14:50:55,18468,audiodg.exe,12877824,12.281,7860224,7.496,12.2,6
1783243256.0504222,2026-07-05 14:50:56,18468,audiodg.exe,12877824,12.281,7860224,7.496,6.1,6
